# Program:featureCounts v1.4.6; Command:"featureCounts" "-a" "Probes.FC.annotation.HG19.txt" "-o" "RNA-seq_pluri.txt" "-F" "SAF" "-O" "/mnt/gluster/home/ireneg/ipsc_paper/mapped_data/H18489_LCL/accepted_hits.bam" "/mnt/gluster/home/ireneg/ipsc_paper/mapped_data/H28834_day_20/accepted_hits.bam" "/mnt/gluster/home/ireneg/ipsc_paper/mapped_data/H20961_FB/accepted_hits.bam" "/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H18489/H18489.bam" "/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H18507/H18507.bam" "/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H18508/H18508.bam" "/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H18516/H18516.bam" "/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H18855/H18855.bam" "/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H18856/H18856.bam" "/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H18858/H18858.bam" "/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H19098/H19098.bam" "/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H19101/H19101.bam" "/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H19239/H19239.bam" "/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H19257/H19257.bam" 
Geneid	Chr	Start	End	Strand	Length	/mnt/gluster/home/ireneg/ipsc_paper/mapped_data/H18489_LCL/accepted_hits.bam	/mnt/gluster/home/ireneg/ipsc_paper/mapped_data/H28834_day_20/accepted_hits.bam	/mnt/gluster/home/ireneg/ipsc_paper/mapped_data/H20961_FB/accepted_hits.bam	/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H18489/H18489.bam	/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H18507/H18507.bam	/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H18508/H18508.bam	/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H18516/H18516.bam	/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H18855/H18855.bam	/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H18856/H18856.bam	/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H18858/H18858.bam	/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H19098/H19098.bam	/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H19101/H19101.bam	/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H19239/H19239.bam	/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H19257/H19257.bam
ILMN_1910180	chr2	206643946	206643996	-	51	2	4	9	3	5	3	4	2	6	0	5	1	2	13
ILMN_1804174	chr1	161648211	161648261	-	51	21	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1796063	chr11	35829493	35829543	-	51	171	1	57	17	8	33	33	61	43	32	16	12	36	52
ILMN_3284771	chr13	45170132	45170182	-	51	0	0	0	1	2	1	3	0	4	0	1	1	1	1
ILMN_3208259	chr13	45169587	45169637	-	51	0	0	0	17	22	13	27	25	25	13	17	13	30	27
ILMN_1668162	chrX	69459733	69459783	-	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1715600	chr10	92821773	92821823	-	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1912287	chr3	151602086	151602136	-	51	21	2	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1793729	chr15	75503667	75503717	-	51	228	19	19	28	29	24	24	17	17	15	6	9	24	39
ILMN_2296644	chr5	140890699	140890749	-	51	6	0	249	31	18	28	50	65	46	25	10	23	46	46
ILMN_1711283	chr5	140784738	140784788	-	51	0	0	5	0	0	0	0	0	1	0	0	0	0	1
ILMN_1682799	chr10	90682992	90683042	-	51	105	3	18	9	2	5	9	7	3	4	3	6	13	13
ILMN_3305563	chr16	3160538	3160588	+	51	1	0	1	0	0	0	0	0	0	0	0	0	0	0
ILMN_3228954	chr16	3164836	3164886	+	51	1	0	1	0	0	0	0	0	0	0	0	1	0	0
ILMN_3243894	chr20	37078072	37078122	-	51	6	0	0	2	0	1	1	4	4	0	2	2	3	3
ILMN_3246479	chr4	1189737	1189787	+	51	5	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1665311	chr17	44076741	44076791	-	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1657235	chr19	14164431	14164481	+	51	0	0	0	21	35	34	29	28	26	17	14	15	22	20
ILMN_1679194	chr4	69978282	69978332	-	51	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1755897	chr4	69978278	69978328	-	51	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1711453	chr12	10131771	10131821	-	51	4	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1656744	chr8	2362247	2362297	+	51	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ILMN_2121316	chr1	170522154	170522204	-	51	50	3	16	16	12	14	18	14	10	11	17	11	15	13
ILMN_1761911	chr1	170521782	170521832	-	51	55	2	30	11	20	14	14	20	19	20	11	11	26	13
ILMN_1807467	chr5	73142091	73142141	-	51	2	0	0	0	1	1	1	0	1	1	0	0	0	0
ILMN_1652609	chr5	73205238	73205288	-	51	0	0	1	0	0	1	0	1	0	0	0	0	0	1
ILMN_1720944	chrX	69157772	69157822	+	51	0	0	0	11	5	36	14	41	29	19	14	12	39	39
ILMN_1818577	chr1	206677687	206677737	-	51	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ILMN_2385662	chr1	111490588	111490638	+	51	198	1	28	23	35	16	31	49	40	24	11	24	59	37
ILMN_2313434	chr6	160199673	160199723	+	51	541	23	126	143	143	112	201	182	112	86	70	105	305	169
ILMN_1704173	chr22	21335319	21335369	-	51	0	0	0	2	8	7	2	5	3	3	1	2	2	5
ILMN_3298873	chr22	31050480	31050530	+	51	5	1	3	4	0	1	1	0	1	0	0	1	4	0
ILMN_1769158	chr19	55964471	55964521	+	51	169	54	55	93	131	174	108	179	110	116	28	65	149	150
ILMN_1660232	chr12	7363869	7363919	-	51	83	15	46	53	68	42	72	68	61	51	28	31	62	54
ILMN_1763663	chr16	50139799	50139849	-	51	32	0	12	31	16	22	24	20	31	19	23	9	19	41
ILMN_1727459	chr1	52838934	52838984	+	51	45	4	0	40	39	36	58	50	36	42	21	28	57	74
ILMN_1814429	chr6	64499005	64499055	+	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_3308996	chr8	135817124	135817174	+	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1849784	chr1	45282877	45282927	+	51	0	0	15	0	1	0	0	0	0	1	0	0	0	1
ILMN_1797082	chr7	17833398	17833448	+	51	67	3	55	31	17	26	41	38	28	26	13	14	44	30
ILMN_1693210	chr8	126379142	126379192	-	51	105	13	40	32	23	30	38	55	30	15	10	16	37	27
ILMN_1775074	chr10	135094775	135094825	+	51	176	65	71	54	75	59	69	64	46	43	20	32	56	78
ILMN_1779257	chr20	44757610	44757660	-	51	1250	0	32	29	36	44	37	40	28	31	18	26	58	21
